Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind
AL011851,UNNAMED,18510625,2100,L,HU,28.2N,96.8W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041851,UNNAMED,18510823,2100,L,HU,30.1N,85.7W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061851,UNNAMED,18511019,1500,L,TS,41.1N,71.7W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011852,UNNAMED,18520826,600,L,HU,30.2N,88.6W,100,961,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
AL031852,UNNAMED,18520912,0,L,HU,28.0N,82.8W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051852,UNNAMED,18521009,2100,L,HU,29.9N,84.4W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011854,UNNAMED,18540626,1200,L,HU,26.2N,97.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031854,UNNAMED,18540908,2000,L,HU,31.7N,81.1W,100,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40
AL041854,UNNAMED,18540918,2100,L,HU,28.9N,95.3W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051855,UNNAMED,18550916,300,L,HU,29.2N,89.5W,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011856,UNNAMED,18560810,1800,L,HU,29.2N,91.1W,130,934,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10
AL031856,UNNAMED,18560819,1100,L,TS,34.8N,76.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051856,UNNAMED,18560831,600,L,HU,30.2N,85.9W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021857,UNNAMED,18570913,0,L,HU,33.9N,78.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041857,UNNAMED,18570930,1000,L,TS,25.8N,97.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031858,UNNAMED,18580914,1500,L,TS,27.6N,82.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031858,UNNAMED,18580916,1700,L,HU,40.9N,72.2W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45
AL031858,UNNAMED,18580916,1800,L,HU,41.4N,72.0W,70,979,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45
AL051859,UNNAMED,18590916,0,L,HU,30.3N,88.1W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071859,UNNAMED,18591017,1600,L,TS,26.4N,80.1W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081859,UNNAMED,18591028,1800,L,HU,27.7N,82.8W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011860,UNNAMED,18600811,2000,L,HU,29.2N,90.0W,110,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041860,UNNAMED,18600915,400,L,HU,29.3N,89.6W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061860,UNNAMED,18601002,1700,L,HU,29.5N,91.4W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051861,UNNAMED,18610927,1700,L,HU,34.5N,77.4W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071861,UNNAMED,18611007,1200,L,TS,35.3N,75.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,18611101,800,L,TS,26.0N,81.8W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,18611102,1000,L,HU,34.7N,76.6W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,18611103,800,L,TS,41.0N,72.3W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL081861,UNNAMED,18611103,900,L,TS,41.2N,72.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061863,UNNAMED,18630918,1300,L,TS,34.6N,77.1W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091863,UNNAMED,18630929,1200,L,TS,29.3N,94.8W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021865,UNNAMED,18650630,1200,L,TS,26.0N,97.5W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041865,UNNAMED,18650913,2100,L,HU,29.8N,93.4W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051865,UNNAMED,18650907,0,L,TS,29.7N,92.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071865,UNNAMED,18651023,1000,L,HU,24.6N,81.7W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071865,UNNAMED,18651023,1400,L,HU,25.4N,81.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011866,UNNAMED,18660715,1200,L,HU,28.5N,96.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011867,UNNAMED,18670622,1400,L,HU,32.9N,79.7W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,18671004,1500,L,HU,29.2N,91.0W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071867,UNNAMED,18671006,1500,L,HU,29.6N,83.4W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021868,UNNAMED,18681004,1600,L,TS,29.9N,85.4W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021869,UNNAMED,18690817,700,L,HU,28.1N,96.8W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL051869,UNNAMED,18690905,1200,L,HU,29.2N,90.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061869,UNNAMED,18690908,2100,L,HU,41.0N,71.9W,100,963,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL061869,UNNAMED,18690908,2200,L,HU,41.4N,71.7W,100,965,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL101869,UNNAMED,18691004,1900,L,HU,41.3N,70.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL101869,UNNAMED,18691004,2000,L,HU,41.7N,70.4W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL101869,UNNAMED,18691004,2300,L,HU,43.7N,70.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL011870,UNNAMED,18700730,1800,L,HU,30.5N,88.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18701020,1400,L,HU,24.7N,82.8W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL091870,UNNAMED,18701020,2000,L,HU,26.0N,81.8W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011871,UNNAMED,18710604,700,L,TS,29.1N,95.1W,50,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL021871,UNNAMED,18710609,1700,L,TS,29.2N,95.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL031871,UNNAMED,18710817,200,L,HU,27.1N,80.2W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30
AL031871,UNNAMED,18710823,0,L,TS,31.2N,81.4W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL041871,UNNAMED,18710825,500,L,HU,27.1N,80.3W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL061871,UNNAMED,18710906,1400,L,HU,29.2N,83.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL071871,UNNAMED,18711005,1600,L,TS,30.0N,83.9W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
AL011872,UNNAMED,18720711,500,L,TS,29.1N,89.1W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
