Basin,Name,Date,Time,Indicator,Status,Latitude,Longitude,Max_Wind_Speed,Min_Pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW,Radius_Max_Wind,Year,Prev_Latitude,Prev_Longitude,Prev_In_Florida,Curr_In_Florida,Landfall_Detected
AL011900,UNNAMED,19000906,600,,HU,24.8,-83.2,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1900,24.1,-82.3,False,True,True
AL061900,UNNAMED,19001011,1800,,TS,28.5,-86.6,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1900,27.3,-88.5,False,True,True
AL011901,UNNAMED,19010612,1800,,TS,25.1,-85.2,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,24.0,-85.0,False,True,True
AL041901,UNNAMED,19010810,2200,L,TS,26.3,-80.1,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,26.1,-79.6,False,True,True
AL081901,UNNAMED,19010917,1200,,TS,29.0,-87.5,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,27.7,-88.1,False,True,True
AL101901,UNNAMED,19010927,1200,,TS,25.5,-85.0,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1901,24.3,-84.8,False,True,True
AL011902,UNNAMED,19020613,1800,,TS,24.9,-83.2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1902,23.8,-83.0,False,True,True
AL041902,UNNAMED,19021010,2100,L,TS,30.3,-87.3,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1902,29.4,-87.8,False,True,True
AL031903,UNNAMED,19030911,2300,L,HU,26.1,-80.1,75,976,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1903,25.9,-79.6,False,True,True
AL041904,UNNAMED,19041017,600,,HU,25.1,-80.1,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1904,24.2,-79.9,False,True,True
AL061904,UNNAMED,19041103,1200,L,TS,30.3,-86.7,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1904,29.1,-88.1,False,True,True
AL011906,UNNAMED,19060610,1200,,TS,25.0,-84.3,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,24.4,-84.2,False,True,True
AL021906,UNNAMED,19060617,0,,HU,24.5,-81.3,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,24.0,-81.5,False,True,True
AL061906,UNNAMED,19060926,0,,HU,24.7,-86.6,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,24.0,-86.3,False,True,True
AL081906,UNNAMED,19061018,1000,L,HU,24.7,-81.1,105,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,1906,23.9,-81.6,False,True,True
AL081906,UNNAMED,19061021,600,,TS,30.7,-81.2,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,31.7,-80.4,False,True,True
AL091906,UNNAMED,19061017,1800,,TD,28.8,-80.6,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1906,29.3,-79.5,False,True,True
AL011907,UNNAMED,19070628,2300,L,TS,30.3,-85.9,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1907,29.3,-87.8,False,True,True
